ID;Produkt;Kategori;Total kg CO2e/kg
Ra00001;Peberfrugt;Grøntsager og grøntsagsprodukter;0,96
Ra00002;Tomat;Grøntsager og grøntsagsprodukter;0,46
Ra00003;Squash;Grøntsager og grøntsagsprodukter;0,73
Ra00004;Aubergine;Grøntsager og grøntsagsprodukter;0,87
Ra00005;Tomat, soltørret;Grøntsager og grøntsagsprodukter;2,33
Ra00006;Græskar;Grøntsager og grøntsagsprodukter;0,73
Ra00007;Agurk;Grøntsager og grøntsagsprodukter;0,37
Ra00008;Drueagurk (sylteagurk);Grøntsager og grøntsagsprodukter;0,37
Ra00009;Peber, chili;Grøntsager og grøntsagsprodukter;0,96
Ra00010;Oksekød, inderlår uden kappe;Kød og fjerkræ;55,31